lon,lat,z_bed_m_ngf
1.848000,45.781494,649.82
1.847704,45.781563,650.58
1.847568,45.781753,650.27
1.847624,45.781972,651.01
1.847812,45.782149,650.80
1.848108,45.782217,650.22
1.848428,45.782198,650.70
1.848749,45.782199,650.09
1.849066,45.782222,649.31
1.849303,45.782366,649.09
1.849468,45.782556,649.11
1.849527,45.782775,649.32
1.849461,45.782991,649.05
1.849291,45.783179,648.85
1.849284,45.783399,649.32
1.849393,45.783610,648.95
1.849542,45.783809,649.07
1.849725,45.783994,648.96
1.849884,45.784188,649.32
1.850012,45.784394,649.00
1.850140,45.784600,649.17
1.850270,45.784806,649.42
1.850403,45.785010,649.12
1.850537,45.785215,649.75
1.850662,45.785421,649.24
1.850788,45.785628,649.34
1.850903,45.785838,649.08
1.851012,45.786049,649.01
1.851148,45.786253,649.34
1.851293,45.786451,649.72
1.851473,45.786623,648.91
1.851544,45.786842,649.00
1.851623,45.787060,649.15
1.851681,45.787280,649.11
1.851608,45.787495,649.20
1.851592,45.787714,649.32
1.851724,45.787917,649.32
1.851901,45.788105,648.96
1.852078,45.788293,649.32
1.852245,45.788484,649.00
1.852377,45.788689,648.99
1.852502,45.788896,648.86
1.852626,45.789103,648.90
1.852729,45.789315,649.62
1.852783,45.789536,649.57
1.852833,45.789758,649.09
1.852920,45.789973,648.96
1.853043,45.790180,649.02
1.853167,45.790388,649.14
1.853313,45.790587,648.87
1.853461,45.790787,649.13
1.853561,45.790995,649.04
1.853518,45.791217,648.92
1.853503,45.791436,648.92
1.853538,45.791659,649.15
1.853504,45.791881,650.02
1.853432,45.792100,650.82
1.853597,45.792256,649.77
1.853599,45.792478,649.93
1.853467,45.792681,649.96
1.853255,45.792849,649.28
1.853054,45.793022,648.97
1.852947,45.793232,648.89
1.852904,45.793454,648.91
1.852827,45.793672,648.87
1.852706,45.793880,649.32
1.852583,45.794087,648.95
1.852435,45.794287,649.56
1.852275,45.794481,649.15
1.852112,45.794675,649.32
1.851902,45.794845,649.32
1.851691,45.795015,649.32
1.851480,45.795184,649.32
1.851254,45.795343,649.34
1.850991,45.795473,649.94
1.850821,45.795649,649.19
1.850575,45.795787,649.14
1.850296,45.795895,648.99
1.850067,45.796052,649.58
1.849902,45.796245,651.06
1.849771,45.796450,649.35
1.849517,45.796586,649.74
1.849241,45.796703,649.28
1.848966,45.796819,648.89
1.848690,45.796935,649.11
1.848409,45.797044,648.88
1.848108,45.797124,649.32
1.847807,45.797204,649.07
1.847502,45.797276,650.30
1.847195,45.797344,649.56
1.846887,45.797408,650.00
1.846576,45.797466,649.00
1.846263,45.797521,649.37
1.845952,45.797580,650.57
1.845642,45.797641,649.22
1.845329,45.797694,649.49
1.845015,45.797743,649.59
1.844701,45.797793,649.40
1.844394,45.797861,649.30
1.844108,45.797962,649.22
1.843834,45.798080,649.72
1.843548,45.798182,650.05
1.843228,45.798200,649.08
1.843018,45.798353,649.18
1.842921,45.798567,649.41
1.842953,45.798788,649.68
1.842982,45.799008,649.44
1.843025,45.799229,649.33
1.843190,45.799422,649.02
1.843408,45.799576,649.30
1.843714,45.799645,649.68
1.844032,45.799628,649.96
1.844346,45.799579,650.20
1.844649,45.799513,650.23
1.844784,45.799326,650.12
1.844813,45.799198,648.93
1.844952,45.799387,649.65
1.845254,45.799466,649.00
1.845544,45.799562,649.73
1.845861,45.799566,650.06
1.845929,45.799683,648.92
1.846078,45.799875,649.29
1.846009,45.800094,649.18
1.845883,45.800300,649.08
1.845670,45.800454,649.84
1.845370,45.800442,649.37
1.845211,45.800629,649.36
1.845277,45.800829,649.99
1.845330,45.801048,649.48
1.845322,45.801272,649.18
1.845283,45.801494,649.19
1.845308,45.801717,649.70
1.845313,45.801941,650.00
1.845265,45.802162,649.83
1.845166,45.802376,649.71
1.845035,45.802581,649.37
1.844913,45.802789,649.49
1.844802,45.803000,649.26
1.844730,45.803218,649.52
1.844721,45.803442,649.54
1.844810,45.803656,649.54
1.845001,45.803835,649.61
1.845252,45.803974,649.56
1.845564,45.804004,649.37
1.845884,45.803979,649.60
1.846201,45.804007,649.56
1.846441,45.804135,649.14
1.846459,45.804340,649.62
1.846242,45.804494,649.31
1.845968,45.804612,649.51
1.845668,45.804692,649.49
1.845457,45.804854,649.26
1.845332,45.805058,649.16
1.845109,45.805218,649.47
1.844988,45.805425,649.46
1.844808,45.805608,649.29
1.844875,45.805808,649.44
