lon,lat,depth_m,timestamp
1.871320,45.793280,20.10,2009-04-22T12:00:00+00:00
1.871290,45.780790,6.30,2009-04-22T12:00:00+00:00
1.871290,45.789680,17.80,2009-04-22T12:00:00+00:00
1.871290,45.795570,20.70,2009-04-22T12:00:00+00:00
1.871290,45.805130,10.30,2009-04-22T12:00:00+00:00
1.871300,45.780470,0.80,2009-04-22T12:00:00+00:00
1.871300,45.784310,12.20,2009-04-22T12:00:00+00:00
1.870950,45.802340,3.40,2009-04-22T12:00:00+00:00
1.871300,45.802350,5.60,2009-04-22T12:00:00+00:00
1.871280,45.785400,2.20,2009-04-22T12:00:00+00:00
1.871320,45.809940,16.70,2009-04-22T12:00:00+00:00
1.871320,45.813400,3.20,2009-04-22T12:00:00+00:00
1.871320,45.813590,2.10,2009-04-22T12:00:00+00:00
1.871330,45.780500,0.90,2009-04-22T12:00:00+00:00
1.871330,45.790640,18.50,2009-04-22T12:00:00+00:00
1.871350,45.782420,10.10,2009-04-22T12:00:00+00:00
1.871350,45.785340,2.50,2009-04-22T12:00:00+00:00
1.871300,45.793820,20.60,2009-04-22T12:00:00+00:00
1.871250,45.790560,18.50,2009-04-22T12:00:00+00:00
1.871210,45.784370,12.10,2009-04-22T12:00:00+00:00
1.871220,45.780850,7.60,2009-04-22T12:00:00+00:00
1.871220,45.793430,20.40,2009-04-22T12:00:00+00:00
1.871220,45.793740,20.10,2009-04-22T12:00:00+00:00
1.871220,45.797960,21.80,2009-04-22T12:00:00+00:00
1.871220,45.801200,10.90,2009-04-22T12:00:00+00:00
1.871220,45.810000,16.80,2009-04-22T12:00:00+00:00
1.871280,45.801150,14.10,2009-04-22T12:00:00+00:00
1.871240,45.780420,0.80,2009-04-22T12:00:00+00:00
1.871280,45.793360,20.20,2009-04-22T12:00:00+00:00
1.871250,45.791600,19.40,2009-04-22T12:00:00+00:00
1.871250,45.806060,18.90,2009-04-22T12:00:00+00:00
1.871260,45.813510,2.40,2009-04-22T12:00:00+00:00
1.871280,45.780450,0.80,2009-04-22T12:00:00+00:00
1.871280,45.782350,10.10,2009-04-22T12:00:00+00:00
1.871280,45.783120,10.90,2009-04-22T12:00:00+00:00
1.871360,45.801090,16.40,2009-04-22T12:00:00+00:00
1.871220,45.813430,2.80,2009-04-22T12:00:00+00:00
1.871470,45.806090,21.60,2009-04-22T12:00:00+00:00
1.871350,45.797960,21.80,2009-04-22T12:00:00+00:00
1.871430,45.782480,10.30,2009-04-22T12:00:00+00:00
1.871430,45.785300,3.00,2009-04-22T12:00:00+00:00
1.871440,45.801020,18.30,2009-04-22T12:00:00+00:00
1.871450,45.813420,3.50,2009-04-22T12:00:00+00:00
1.871460,45.790800,18.80,2009-04-22T12:00:00+00:00
1.871460,45.793040,20.00,2009-04-22T12:00:00+00:00
1.871420,45.809890,16.30,2009-04-22T12:00:00+00:00
1.871470,45.797960,21.70,2009-04-22T12:00:00+00:00
1.871420,45.793120,19.80,2009-04-22T12:00:00+00:00
1.871480,45.784190,12.20,2009-04-22T12:00:00+00:00
1.871480,45.791680,18.40,2009-04-22T12:00:00+00:00
1.871480,45.813840,1.50,2009-04-22T12:00:00+00:00
1.871500,45.789730,17.40,2009-04-22T12:00:00+00:00
1.871500,45.792960,19.90,2009-04-22T12:00:00+00:00
1.871500,45.795620,20.60,2009-04-22T12:00:00+00:00
1.871500,45.800950,19.60,2009-04-22T12:00:00+00:00
1.871460,45.793940,20.60,2009-04-22T12:00:00+00:00
1.871390,45.784240,12.10,2009-04-22T12:00:00+00:00
1.871200,45.785450,2.00,2009-04-22T12:00:00+00:00
1.871360,45.806080,20.20,2009-04-22T12:00:00+00:00
1.871370,45.780690,3.20,2009-04-22T12:00:00+00:00
1.871370,45.791630,19.00,2009-04-22T12:00:00+00:00
1.871370,45.813670,1.90,2009-04-22T12:00:00+00:00
1.871380,45.793200,20.20,2009-04-22T12:00:00+00:00
1.871380,45.793880,20.40,2009-04-22T12:00:00+00:00
1.871420,45.813760,1.70,2009-04-22T12:00:00+00:00
1.871390,45.780660,2.00,2009-04-22T12:00:00+00:00
1.871360,45.780760,5.00,2009-04-22T12:00:00+00:00
1.871390,45.789710,17.60,2009-04-22T12:00:00+00:00
1.871400,45.780590,1.60,2009-04-22T12:00:00+00:00
1.871400,45.783090,10.70,2009-04-22T12:00:00+00:00
1.871400,45.790720,18.60,2009-04-22T12:00:00+00:00
1.871400,45.795590,20.50,2009-04-22T12:00:00+00:00
1.871400,45.805090,10.80,2009-04-22T12:00:00+00:00
1.871410,45.802350,6.20,2009-04-22T12:00:00+00:00
1.871390,45.780540,1.10,2009-04-22T12:00:00+00:00
1.871060,45.785550,1.80,2009-04-22T12:00:00+00:00
1.871080,45.780350,0.90,2009-04-22T12:00:00+00:00
1.871030,45.780300,0.50,2009-04-22T12:00:00+00:00
1.871030,45.791530,19.90,2009-04-22T12:00:00+00:00
1.871040,45.783180,11.20,2009-04-22T12:00:00+00:00
1.871040,45.784500,12.00,2009-04-22T12:00:00+00:00
1.871040,45.802330,3.90,2009-04-22T12:00:00+00:00
1.871040,45.806040,17.00,2009-04-22T12:00:00+00:00
1.871020,45.793640,20.80,2009-04-22T12:00:00+00:00
1.871060,45.780330,1.00,2009-04-22T12:00:00+00:00
1.871010,45.781030,9.50,2009-04-22T12:00:00+00:00
1.871060,45.789630,17.50,2009-04-22T12:00:00+00:00
1.871060,45.790350,18.10,2009-04-22T12:00:00+00:00
1.871060,45.793610,20.30,2009-04-22T12:00:00+00:00
1.871060,45.801320,6.80,2009-04-22T12:00:00+00:00
1.871070,45.782170,10.20,2009-04-22T12:00:00+00:00
1.871070,45.795490,20.40,2009-04-22T12:00:00+00:00
1.871200,45.813380,3.00,2009-04-22T12:00:00+00:00
1.871040,45.813100,3.60,2009-04-22T12:00:00+00:00
1.870990,45.801390,5.30,2009-04-22T12:00:00+00:00
1.875040,45.807080,1.30,2009-04-22T12:00:00+00:00
1.870960,45.784560,11.20,2009-04-22T12:00:00+00:00
1.870960,45.793720,21.80,2009-04-22T12:00:00+00:00
1.870960,45.795460,20.00,2009-04-22T12:00:00+00:00
1.870960,45.813350,2.40,2009-04-22T12:00:00+00:00
1.870980,45.793540,20.00,2009-04-22T12:00:00+00:00
1.870990,45.780220,0.70,2009-04-22T12:00:00+00:00
1.871030,45.780260,0.60,2009-04-22T12:00:00+00:00
1.870990,45.797970,21.20,2009-04-22T12:00:00+00:00
1.871080,45.780960,9.30,2009-04-22T12:00:00+00:00
1.870990,45.805260,9.30,2009-04-22T12:00:00+00:00
1.870990,45.813010,4.60,2009-04-22T12:00:00+00:00
1.871000,45.782110,10.20,2009-04-22T12:00:00+00:00
1.871000,45.790280,18.40,2009-04-22T12:00:00+00:00
1.871000,45.810090,16.50,2009-04-22T12:00:00+00:00
1.871000,45.811900,3.20,2009-04-22T12:00:00+00:00
1.871000,45.812560,6.10,2009-04-22T12:00:00+00:00
1.870990,45.785600,2.60,2009-04-22T12:00:00+00:00
1.871180,45.789670,17.90,2009-04-22T12:00:00+00:00
1.871070,45.812490,4.70,2009-04-22T12:00:00+00:00
1.871140,45.812410,1.50,2009-04-22T12:00:00+00:00
1.871150,45.780400,1.00,2009-04-22T12:00:00+00:00
1.871150,45.780910,8.20,2009-04-22T12:00:00+00:00
1.871160,45.783140,10.80,2009-04-22T12:00:00+00:00
1.871160,45.793510,20.10,2009-04-22T12:00:00+00:00
1.871160,45.812190,3.60,2009-04-22T12:00:00+00:00
1.871140,45.806050,18.00,2009-04-22T12:00:00+00:00
1.871170,45.813350,3.50,2009-04-22T12:00:00+00:00
1.871140,45.802340,4.40,2009-04-22T12:00:00+00:00
1.871180,45.795530,20.70,2009-04-22T12:00:00+00:00
1.871180,45.805180,10.10,2009-04-22T12:00:00+00:00
1.871190,45.790500,18.50,2009-04-22T12:00:00+00:00
1.871190,45.812340,0.60,2009-04-22T12:00:00+00:00
1.871200,45.780410,0.90,2009-04-22T12:00:00+00:00
1.871200,45.782280,10.10,2009-04-22T12:00:00+00:00
1.871520,45.783080,10.40,2009-04-22T12:00:00+00:00
1.871170,45.812270,0.90,2009-04-22T12:00:00+00:00
1.871130,45.784430,11.90,2009-04-22T12:00:00+00:00
1.871080,45.813180,3.90,2009-04-22T12:00:00+00:00
1.871080,45.813370,2.90,2009-04-22T12:00:00+00:00
1.871090,45.793580,20.50,2009-04-22T12:00:00+00:00
1.871090,45.805220,9.90,2009-04-22T12:00:00+00:00
1.871090,45.811960,0.90,2009-04-22T12:00:00+00:00
1.871110,45.797960,21.40,2009-04-22T12:00:00+00:00
1.871110,45.810050,16.80,2009-04-22T12:00:00+00:00
1.871140,45.812120,0.60,2009-04-22T12:00:00+00:00
1.871120,45.790420,18.40,2009-04-22T12:00:00+00:00
1.871200,45.802350,5.30,2009-04-22T12:00:00+00:00
1.871130,45.812040,0.80,2009-04-22T12:00:00+00:00
1.871130,45.813260,3.70,2009-04-22T12:00:00+00:00
1.871140,45.782240,10.30,2009-04-22T12:00:00+00:00
1.871140,45.785490,1.80,2009-04-22T12:00:00+00:00
1.871140,45.791560,20.50,2009-04-22T12:00:00+00:00
1.871140,45.793680,20.00,2009-04-22T12:00:00+00:00
1.871140,45.801270,8.90,2009-04-22T12:00:00+00:00
1.871120,45.780380,1.00,2009-04-22T12:00:00+00:00
1.872050,45.782990,8.10,2009-04-22T12:00:00+00:00
1.872070,45.800400,22.10,2009-04-22T12:00:00+00:00
1.872000,45.792270,19.00,2009-04-22T12:00:00+00:00
1.872000,45.800480,22.10,2009-04-22T12:00:00+00:00
1.872010,45.783020,9.30,2009-04-22T12:00:00+00:00
1.872010,45.791410,15.80,2009-04-22T12:00:00+00:00
1.872020,45.785080,10.90,2009-04-22T12:00:00+00:00
1.872020,45.789900,15.20,2009-04-22T12:00:00+00:00
1.871980,45.794340,19.90,2009-04-22T12:00:00+00:00
1.872030,45.806160,22.80,2009-04-22T12:00:00+00:00
1.871980,45.782920,8.90,2009-04-22T12:00:00+00:00
1.872050,45.783840,8.80,2009-04-22T12:00:00+00:00
1.872050,45.792190,18.90,2009-04-22T12:00:00+00:00
1.872050,45.795790,21.00,2009-04-22T12:00:00+00:00
1.872050,45.804870,17.20,2009-04-22T12:00:00+00:00
1.872050,45.814100,1.40,2009-04-22T12:00:00+00:00
1.872060,45.798020,22.10,2009-04-22T12:00:00+00:00
1.871890,45.783040,9.70,2009-04-22T12:00:00+00:00
1.872020,45.791920,16.90,2009-04-22T12:00:00+00:00
1.871940,45.798000,22.00,2009-04-22T12:00:00+00:00
1.871500,45.805060,11.60,2009-04-22T12:00:00+00:00
1.871900,45.794270,19.90,2009-04-22T12:00:00+00:00
1.871910,45.782860,9.50,2009-04-22T12:00:00+00:00
1.871910,45.791870,17.60,2009-04-22T12:00:00+00:00
1.871920,45.785110,9.20,2009-04-22T12:00:00+00:00
1.871920,45.789880,16.00,2009-04-22T12:00:00+00:00
1.871920,45.806150,22.90,2009-04-22T12:00:00+00:00
1.871980,45.814170,1.10,2009-04-22T12:00:00+00:00
1.871940,45.792340,19.30,2009-04-22T12:00:00+00:00
1.872070,45.813460,2.20,2009-04-22T12:00:00+00:00
1.871940,45.800540,22.00,2009-04-22T12:00:00+00:00
1.871940,45.804910,16.20,2009-04-22T12:00:00+00:00
1.871940,45.813460,2.50,2009-04-22T12:00:00+00:00
1.871950,45.783900,10.50,2009-04-22T12:00:00+00:00
1.871950,45.795760,20.70,2009-04-22T12:00:00+00:00
1.871960,45.802440,11.20,2009-04-22T12:00:00+00:00
1.871960,45.809680,6.10,2009-04-22T12:00:00+00:00
1.871940,45.791330,16.20,2009-04-22T12:00:00+00:00
1.872230,45.785040,12.80,2009-04-22T12:00:00+00:00
1.872070,45.794400,20.10,2009-04-22T12:00:00+00:00
1.872200,45.783120,6.80,2009-04-22T12:00:00+00:00
1.872200,45.802460,13.70,2009-04-22T12:00:00+00:00
1.872200,45.813470,1.90,2009-04-22T12:00:00+00:00
1.872200,45.813960,1.60,2009-04-22T12:00:00+00:00
1.872210,45.791600,14.40,2009-04-22T12:00:00+00:00
1.872210,45.792040,15.50,2009-04-22T12:00:00+00:00
1.872180,45.798040,23.50,2009-04-22T12:00:00+00:00
1.872220,45.800270,22.60,2009-04-22T12:00:00+00:00
1.872170,45.792040,17.10,2009-04-22T12:00:00+00:00
1.872240,45.782970,7.80,2009-04-22T12:00:00+00:00
1.872240,45.783730,7.70,2009-04-22T12:00:00+00:00
1.872240,45.789970,11.70,2009-04-22T12:00:00+00:00
1.872240,45.794530,20.00,2009-04-22T12:00:00+00:00
1.872260,45.783190,6.10,2009-04-22T12:00:00+00:00
1.872260,45.806190,23.80,2009-04-22T12:00:00+00:00
1.872270,45.795880,22.50,2009-04-22T12:00:00+00:00
1.872220,45.791970,16.30,2009-04-22T12:00:00+00:00
1.872130,45.791530,14.90,2009-04-22T12:00:00+00:00
1.872080,45.791480,15.20,2009-04-22T12:00:00+00:00
1.872080,45.802450,12.40,2009-04-22T12:00:00+00:00
1.872080,45.809640,4.30,2009-04-22T12:00:00+00:00
1.872100,45.792120,17.20,2009-04-22T12:00:00+00:00
1.872120,45.783000,8.60,2009-04-22T12:00:00+00:00
1.872120,45.783060,7.60,2009-04-22T12:00:00+00:00
1.872120,45.791980,16.20,2009-04-22T12:00:00+00:00
1.872190,45.809600,2.90,2009-04-22T12:00:00+00:00
1.872130,45.789940,13.60,2009-04-22T12:00:00+00:00
1.871870,45.792410,19.30,2009-04-22T12:00:00+00:00
1.872130,45.814020,1.60,2009-04-22T12:00:00+00:00
1.872140,45.800340,22.80,2009-04-22T12:00:00+00:00
1.872150,45.783780,8.20,2009-04-22T12:00:00+00:00
1.872150,45.794460,20.10,2009-04-22T12:00:00+00:00
1.872150,45.806170,23.00,2009-04-22T12:00:00+00:00
1.872160,45.795830,22.00,2009-04-22T12:00:00+00:00
1.872160,45.804840,18.00,2009-04-22T12:00:00+00:00
1.872130,45.785060,12.40,2009-04-22T12:00:00+00:00
1.871640,45.783060,10.10,2009-04-22T12:00:00+00:00
1.871670,45.792640,19.40,2009-04-22T12:00:00+00:00
1.871610,45.814090,1.30,2009-04-22T12:00:00+00:00
1.871610,45.814260,1.30,2009-04-22T12:00:00+00:00
1.871610,45.814320,1.10,2009-04-22T12:00:00+00:00
1.871620,45.785210,4.90,2009-04-22T12:00:00+00:00
1.871620,45.792720,19.30,2009-04-22T12:00:00+00:00
1.871620,45.814180,1.40,2009-04-22T12:00:00+00:00
1.871600,45.789770,17.60,2009-04-22T12:00:00+00:00
1.871630,45.802380,8.00,2009-04-22T12:00:00+00:00
1.871600,45.782600,9.90,2009-04-22T12:00:00+00:00
1.871640,45.794060,20.40,2009-04-22T12:00:00+00:00
1.871640,45.809800,15.00,2009-04-22T12:00:00+00:00
1.871650,45.791040,17.70,2009-04-22T12:00:00+00:00
1.871660,45.800820,20.80,2009-04-22T12:00:00+00:00
1.871660,45.814380,0.80,2009-04-22T12:00:00+00:00
1.871670,45.782660,10.30,2009-04-22T12:00:00+00:00
1.871890,45.814230,0.80,2009-04-22T12:00:00+00:00
1.871630,45.795650,20.60,2009-04-22T12:00:00+00:00
1.871580,45.792800,19.50,2009-04-22T12:00:00+00:00
1.870950,45.789600,18.00,2009-04-22T12:00:00+00:00
1.871520,45.785260,4.00,2009-04-22T12:00:00+00:00
1.871520,45.802360,6.70,2009-04-22T12:00:00+00:00
1.871530,45.790870,18.40,2009-04-22T12:00:00+00:00
1.871530,45.809840,15.90,2009-04-22T12:00:00+00:00
1.871540,45.813920,1.60,2009-04-22T12:00:00+00:00
1.871550,45.792880,19.90,2009-04-22T12:00:00+00:00
1.871610,45.805020,12.70,2009-04-22T12:00:00+00:00
1.871580,45.784120,11.90,2009-04-22T12:00:00+00:00
1.871690,45.791770,17.80,2009-04-22T12:00:00+00:00
